journal_name,discipline,inception_year
Acta Astronomica,Astronomy,1925
Advances in Space Research,Astronomy,1981
AIP Conference Proceedings,Physics,1970
Annual Review of Astronomy and Astrophysics,astronomy,1963
Annual Review of Earth and Planetary Sciences,Earth science,1973
Astrobiology,Astrobiology,2001
The Astronomical Journal,Astronomy,1849
Astronomical Review,Astronomy,2011
Astronomische Nachrichten,Astronomy,1821
Astronomy and Astrophysics,Astronomy,1969
Astronomy and Computing,Astronomy,2013
The Astronomy and Astrophysics Review,Astronomy,1989
Astronomy & Geophysics,Astronomy,1960
Astronomy Letters,Astronomy,1994
Astroparticle Physics,Astroparticle physics,1992
The Astrophysical Journal,Astronomy,1895
Astrophysics (journal),Astrophysics,1965
Astrophysics and Space Science,Astronomy,1968
Bulletin of the American Astronomical Society,Astronomy,1969
Bulletin of the Astronomical Society of India,Astronomy,1973
Celestial Mechanics and Dynamical Astronomy,Astronomy,1969
Cosmic Research,Space science,1963
Earth Moon and Planets,Planetary science,1969
Earth and Planetary Science Letters,Planetary science,1966
General Relativity and Gravitation,Physics,1970
Geophysical Research Letters,Geophysics,1974
Icarus,Planetary science,1962
International Journal of Astrobiology,Astrobiology,2002
Journal of Astronomical History and Heritage,History of astronomy,1998
Journal of the British Interplanetary Society,Astronautics,1934
Journal of Cosmology,Cosmology,2009
Journal of Cosmology and Astroparticle Physics,Cosmology,2003
Journal of Geophysical Research,Geophysics,1896
Journal for the History of Astronomy,History,1970
Journal of the Korean Astronomical Society,Astronomy,1968
Journal of the Royal Astronomical Society of Canada,Astronomy,1907
Living Reviews in Solar Physics,Astronomy,2004
Meteoritics & Planetary Science,Planetary science,1953
Monthly Notices of the Royal Astronomical Society,Astronomy,1827
Nature Geoscience,Geosciences,2008
New Astronomy,Astronomy,1996
Astronomy Letters,Astronomy,1994
Planetary and Space Science,Solar System,1959
Publications of the Astronomical Society of Australia,Astronomy,1995
Publications of the Astronomical Society of Japan,Astronomy,1949
Publications of the Astronomical Society of the Pacific,Astronomy,1889
Solar Physics,Astrophysics,1967
Accounts of Chemical Research,Chemistry,1968
Acta Chimica Slovenica,Chemistry,1954
Advanced Functional Materials,Materials Science,1985
Aldrichimica Acta,Chemistry,1968
Analyst,Analytical chemistry,1876
Analytical and Bioanalytical Chemistry,Chemistry,1862
Analytical Chemistry,Chemistry,1929
Angewandte Chemie,Chemistry,1887
Annual Reports on the Progress of Chemistry Section A,Chemistry,1904
Annual Reports on the Progress of Chemistry Section B,Chemistry,1904
Annual Reports on the Progress of Chemistry Section C,Chemistry,1904
Annual Review of Physical Chemistry,Physical chemistry,1950
Applied Organometallic Chemistry,Chemistry,1987
Arkivoc,Organic chemistry,2000
